Settled Transactions 01/01/2020 to 08/10/2026
Transaction Date	Description	Type	Units	Price	Total Amount
02/22/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	16.919	$116.78	$1,975.75
02/22/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	16.502	$119.73	$1,975.75
02/22/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	17.931	$110.19	$1,975.75
02/22/2023	Schwab Small Cap Index	BUY INVESTMENTS	64.971	$30.41	$1,975.75
12/21/2022	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.062	$101.72	$6.31
12/21/2022	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.024	$112.01	$2.64
12/16/2022	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.155	$110.70	$17.16
12/09/2022	Schwab Small Cap Index	REINVESTED DIVIDEND	0.611	$28.75	$17.58
11/30/2022	Vanguard Total Intl Stk Idx I	PURCHASE DUE TO FUND EXCHANGE	12.712	$115.28	$1,465.49
11/30/2022	Vanguard Total Int Stk Idx Adm	SALE DUE TO FUND EXCHANGE	50.832	$28.83	$1,465.49
09/22/2022	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.042	$99.69	$4.22
09/22/2022	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.022	$115.33	$2.53
09/16/2022	Vanguard Total Int Stk Idx Adm	REINVESTED DIVIDEND	0.281	$26.60	$7.48
08/10/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.331	$31.10	$72.50
07/21/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.993	$123.10	$122.25
07/21/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.827	$147.74	$122.25
07/21/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	1.041	$117.46	$122.25
07/21/2023	Schwab Small Cap Index	BUY INVESTMENTS	3.858	$31.69	$122.25
07/14/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.588	$123.40	$72.50
07/14/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.487	$148.88	$72.50
07/14/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.624	$116.18	$72.50
07/14/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.322	$31.22	$72.50
06/28/2023	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.126	$111.28	$14.03
06/26/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.61	$118.44	$72.25
06/26/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.513	$140.81	$72.25
06/26/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.661	$109.31	$72.25
06/26/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.454	$29.44	$72.25
06/22/2023	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.049	$143.51	$7.00
06/16/2023	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.381	$122.38	$46.61
06/08/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.601	$120.60	$72.50
06/08/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.522	$138.97	$72.50
06/08/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.655	$110.66	$72.50
06/08/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.389	$30.35	$72.50
05/25/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.615	$117.45	$72.25
05/25/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.538	$134.26	$72.25
05/25/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.696	$103.73	$72.25
05/25/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.554	$28.29	$72.25
05/04/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.606	$119.62	$72.50
05/04/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.57	$127.13	$72.50
05/04/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.716	$101.25	$72.50
05/04/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.619	$27.68	$72.50
05/01/2023	Vanguard Total Intl Stk Idx I	SALE OF RECORDKEEPING FEE	0.039	$120.37	$4.74
05/01/2023	Vanguard Mstar Growth Idx I	SALE OF RECORDKEEPING FEE	0.037	$129.56	$4.80
